Forma;Lemma originale;Lemma corretto;Postag originale;Postag corretto;Tipo modifica
ἐναπόλοιντο;['ἐναπόλλυμαι'];['ἐναπόλλυμι'];['v3paom---'];['v3paom---'];lemma
ἐνδεδέσθαι;['ἐνδέω1'];['ἐνδέω'];['v--rne---'];['v--rne---'];lemma
ἐνδεδεμένοι;['ἐνδέω1'];['ἐνδέω'];['v-prpemn-'];['v-prpemn-'];lemma
ἐνδεξαμένου;['ἐνδείκνυμι'];['ἐνδέχομαι'];['v-sapmmg-'];['v-sapmmg-'];lemma
ἐνδεούσης;['ἐνδέω2'];['ἐνδέω'];['v-sppafg-'];['v-sppafg-'];lemma
ἐνδεῶς;['ἐνδεῶς'];['ἐνδεής'];['d--------'];['d--------'];lemma
ἐνδιδέντες;['ἐν-δίδημι'];['ἐνδίδημι'];['v-pppamn-'];['v-pppamn-'];lemma
ἐνεγγύησα;['ἐν-ἐγγυάω'];['ἐνεγγυάω'];['v1saia---'];['v1saia---'];lemma
ἐνεδέδετο;['ἐνδέω1'];['ἐνδέω'];['v3slie---'];['v3slie---'];lemma
ἐνεδέησεν;['ἐνδέω2'];['ἐνδέω'];['v3saia---'];['v3saia---'];lemma
ἐνεδήσατο;['ἐνδέω1'];['ἐνδέω'];['v3saim---'];['v3saim---'];lemma
ἐνεκλάσθη;['ἐνικλάω'];['ἐγκλάω'];['v3saip---'];['v3saip---'];lemma
